tipo;url;titulo;precio;area_m2;habitaciones;banos;garajes;descripcion;balcon;bano_de_servicio;chimenea;cocina_equipada;cuarto_de_servicio;sauna_turco_jacuzzi;servicio_de_internet;servicios_publicos;zona_de_bbq;acceso_pavimentado;garaje_parqueadero(s);porteria_vigilancia;senderos_ecologicos;area_rural;cerca_de_zona_urbana;sobre_via_secundaria;trans_publico_cercano;caractint;caractext;caractsec;estrato;antiguedad;cocina_integral;ventilacion_natural;asador;bosque_nativo;establo;invernadero;pesebrera;terraza;vista_panoramica;seguridad;bano_auxiliar;comedor;estudio;zona_de_lavanderia;gimnasio;piscina;salon_comunal;zona_infantil;zonas_verdes;bombas_de_gasolina;cerca_centro_comercial;comodas_vias_de_acceso;restaurantes;supermercados_ccomerciales;amoblado;calentador;citofono;comedor_auxiliar;despensa;instalacion_de_gas;patio;piso_en_baldosa_marmol;circuito_cerrado_de_tv;en_conjunto_cerrado;jardin;parqueadero_visitantes;vigilancia;vivienda_multifamiliar;colegios_universidades;parques_cercanos;zona_campestre;zona_residencial;area_urbana;zona_de_hamacas;arboles_frutales;kiosko;bano_independiente;barra_estilo_americano;closet;deposito_bodega;ascensor;garaje(s);porteria_recepcion;vigilancia_24x7;cerca_a_sector_comercial;cocina_tipo_americano;cochera;pozo_de_agua_natural;hall_de_alcobas;sobre_via_principal;rio_quebrada_cercano(a);zona_de_camping;nacimientos_de_agua;zona_comercial;bahias_de_parqueo;banos_publicos;vigilancia_privada_24*7;salon_de_juegos;alarma_contra_incendio;ascensores_comunales;banos_comunales;banos_mixtos;con_administrador;control_de_acceso_digital;cuarto_de_conductores;alcantarillado;jardines_exteriores;locales_comerciales;zona_industrial;alarma;altura_libre;deteccion_de_humo;bahia_exterior_de_parqueo;cancha_de_squash;canchas_deportivas;en_edificio;en_zona_residencial;garaje_cubierto;parque_industrial;bano_compartido;shut_de_basura;parqueadero_interno;aire_lavado;cocineta;edificio_inteligente;escalera_de_emergencia;parqueadero_a_nivel;reja_de_seguridad;cancha_de_tennis;jaula_de_golf;cancha_de_baloncesto;cancha_de_futbol;piso_en_madera;tanques_de_agua;aire_acondicionado;cocina_de_lena;oficina_de_negocios;corrales;piso_en_cemento;cuarto_de_servicio;todos_los_servicios;en_casa;finca_agroganadera;finca_ganadera;vivienda_bifamiliar;casa_de_trabajadores;en_condominio;puerta_electrica;ubicada_en_edificio;finca_agricola;sensor_de_movimiento;planta_electrica;servicios_independientes;cuarto_de_escoltas;salon_de_conferencias;rociadores_de_agua;con_casa_club;disponibilidad_wifi;galpon;piso_de_alta_resistencia;cableado_de_red;puerta_de_seguridad;sala_de_internet;finca_avicola;lote_en_construccion;salon_de_videoconferencias;pasaje_comercial;sistema_de_riego;acceso_para_camiones;con_vivienda;lic_de_construccion;panoramica_un_lado;en_club;auditorio;esquinero;oficinas_administrativas;con_casa_prefabricada;en_zona_comercial;finca_cafetera;servicio_de_lavanderia;altura_restringida;ascensor(es)_inteligente(s);lote_vacio;control_de_acustica;control_termico;panoramica_360o;con_cerca_electrica;municipio;tipo_propiedad
Usada;https://www.fincaraiz.com.co/casa-campestre-en-venta/rionegro/vereda_guayabito-det-5462376.aspx;Casa Campestre en Venta Rionegro Vereda Guayabito;1380000000.0;320.0;5.0;6.0;2.0;Propiedad moderna con muy buenos acabados. Hermoso diseño interior,  vista al lago,  excelentes áreas comunes,  gran zona verde. La propiedad cuenta con 320 mts² en 400 mts² de lote. Casa con 5 habitaciones incluida la del servicio,  5 baños incluido el social y el del servicio,  sala comedor,  biblioteca,  estar de TV,  terraza,  2 balcones,  cocina abierta,  torre de hornos,  despensa,  zona de ropas,  circuito cerrado de TV,  cortinas,  deck,  star,  zonas verdes,  jacuzzi,  vista panorámica. CITA PREVIA..;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;['Balcón', 'Baño de Servicio', 'Chimenea', 'Cocina Equipada', 'Cuarto de Servicio', 'Sauna / Turco / Jacuzzi', 'Servicio de Internet', 'Servicios Públicos', 'Zona de BBQ'];['Acceso Pavimentado', 'Garaje / Parqueadero(s)', 'Portería / Vigilancia', 'Senderos ecológicos'];['Área Rural', 'Cerca de Zona Urbana', 'Sobre vía secundaria', 'Trans. Público cercano'];5;1 a 8 años;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;rionegro;casa
Nueva;https://www.fincaraiz.com.co/vivari-de-san-nicolas/rionegro/proyecto-nuevo-det-6234794.aspx;VIVARI DE SAN NICOLAS San Nicolás - Rionegro;496122600.0;91.97;3.0;3.0;1.0;6234794 Vivari San Nicolás, es un conjunto residencial cerrado, ubicado en el corazón de Rionegro, en el oriente antioqueño, a pocos metros del Centro Comercial San Nicolás, con zonas recreacionales como piscinas para niños y adultos, gimnasios cubiertos y al aire libre, solarium, un palmetto, zona BBQ, zona de juegos, zona de mascotas, salón social y senderos peatonales. LANZAMIENTO APARTAMENTO MODELO.;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;['Balcón', 'Baño Auxiliar', 'Comedor', 'Estudio', 'Servicios Públicos', 'Ventilación Natural', 'Zona de lavandería'];['Garaje / Parqueadero(s)', 'Gimnasio', 'Piscina', 'Salón Comunal', 'Zona Infantil', 'Zonas Verdes'];['Bombas de gasolina', 'Cerca centro comercial', 'Cómodas vias de acceso', 'Restaurantes', 'Seguridad', 'Supermercados / C.Comerciales', 'Trans. Público cercano'];0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;rionegro;apartamento
Usada;https://www.fincaraiz.com.co/casa-en-venta/san-antonio-de-pereira/villas_gualanday-det-6033501.aspx;Casa en Venta San Antonio de Pereira villas de gualanday;570000000.0;150.0;3.0;3.0;1.0;Casa en venta en Villas de Gualanday por 580 millones  AMOBLADA  en 610 sector tranquilo residencial,  son 150 m2,  casa de dos niveles Primer nivel: cómodo salon comedor con chimenea en la sala,  cocina integral con barra,  zona de ropas,  Patio interior con techo acrílico enrejado totalmente,  baño social y parqueadero interno,  segundo nivel: sala de estar que se puede cerrar para una tercera alcoba,  3  amplias habitaciones la principal con vestier,  closet y baño completo..;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;['Amoblado', 'Balcón', 'Calentador', 'Chimenea', 'Citófono', 'Cocina Integral', 'Comedor auxiliar', 'Despensa', 'Instalación de gas', 'Patio', 'Piso en Baldosa /  Mármol'];['Circuito cerrado de TV', 'En conjunto cerrado', 'Jardín', 'Parqueadero Visitantes', 'Vigilancia', 'Vivienda Multifamiliar', 'Zonas Verdes'];['Colegios / Universidades', 'Parques cercanos', 'Supermercados / C.Comerciales', 'Trans. Público cercano', 'Zona Campestre', 'Zona Residencial'];5;1 a 8 años;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;san antonio de pereira;casa
Usada;https://www.fincaraiz.com.co/casa-en-venta/marinilla/monteverde-det-6307558.aspx;Casa en Venta Marinilla Monteverde;290000000.0;106.0;3.0;3.0;1.0;Gran oportunidad Vendo casa unifamiliar no paga administración 3 pisos totalmente acabados y con mejoras 3 habitaciones con closets y puertas 3 baños encabinados estudio persianas cocina integral con hornos y estractor patio con domo sobre autopista Medellín Bogotá y ubicación central para acceder rápidamente a Medellín rionegro Guarne santuario y el peñol Vías totalmente pavimentadas y ubicada estratégicamente en sector de gran valorización;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;[];[];[];4;1 a 8 años;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;marinilla;casa
Nueva;https://www.fincaraiz.com.co/altos-de-santana/rionegro/proyecto-nuevo-det-6351568.aspx;ALTOS DE SANTANA Oriente Antioqueño - Rionegro;360002000.0;73.37;3.0;3.0;0.0;"6351568 Proyecto de apartamentos de 2 y 3 habitaciones, ubicado en Rionegro el sector de Ojo de Agua, en la zona de Colegios, cercano al Estadio y a Medellín por el Tunel del Oriente; en un lote de más de 25.900 m2.  Esta compuesto por 6 torres de hasta 8 pisos, con 352 unidades de vivienda.  Entre sus zonas comúnes se destacan piscina para adultos y niños, zona de niños, salón social, zona de mascotas, gimnasio cubierto y al aire libre, zona de mascotas y muchas más..";0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;['Servicios Públicos', 'Ventilación Natural', 'Zona de lavandería'];['Garaje / Parqueadero(s)', 'Gimnasio', 'Piscina', 'Salón Comunal', 'Vivienda Multifamiliar', 'Zona Infantil'];['Área Urbana', 'Colegios / Universidades', 'Cómodas vias de acceso'];0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;rionegro;apartamento
Usada;https://www.fincaraiz.com.co/finca-en-venta/la-ceja/ceja_antioquia-det-6378550.aspx;Finca en Venta La Ceja La Ceja Antioquia;1250000000.0;9640.0;4.0;4.0;0.0;Espectacular finca La Ceja Antioquia Vereda el Guamito A 1600 metros de la carretera principal Rionegro la Ceja A 10 minutos de Rionegro y de la Ceja y del Carmel de Viboral Lote 9640 mts Área Casa construida 200 mts 4 habitaciones 4 baños Casa auxiliar para mayordomo 4 pesebreras cuarto de aperos área de bar en las pesebreras 7 potreros con agua Terreno de alta valorización Excelente ubicación tierra apta para cultivos y o ganado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;[];[];[];4;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;la ceja;finca
Usada;https://www.fincaraiz.com.co/finca-en-venta/marinilla/marinilla-det-6378422.aspx;Finca en Venta Marinilla Marinilla;385000000.0;220.0;4.0;2.0;0.0;Finca en vereda tranquila y segura.  A 40 minutos de Medellín, 30 minutos del aeropuerto y 5 km del pueblo de Marinilla.  Lote de 1350m2 con espectaculares vistas, casa de 220m2 con 4 dormitorios, 2 baños, cocina abierta con barra, dos salas amplias, kiosko, asador, pergola, y zona de juegos.  Cuenta con 14 arboles de aguacate, varios arboles frutales, corredores amplios y bello jardín establecido. Transporte publico diario, red de gas, todos los servicios y acceso al internet. ;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;['Cocina Equipada', 'Servicios Públicos', 'Ventilación Natural', 'Zona de BBQ', 'Zona de Hamacas'];['Árboles frutales', 'Asador', 'Kiosko', 'Terraza', 'Vista panorámica', 'Zona Infantil'];['Área Rural', 'Sobre vía secundaria', 'Trans. Público cercano'];4;Más de 30 años;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;marinilla;finca
Usada;https://www.fincaraiz.com.co/apartamento-en-venta/marinilla/villas_del_ensueno-det-6377923.aspx;Apartamento en Venta Marinilla Villas del Ensueño;100000000.0;48.0;3.0;1.0;0.0;Apartamento Ubicado en la Urbanización Villas de Ensueño de Marinilla, con posibilidad de ampliación. Contacto WhatsApp tres veinte tres cincuenta y seis ochenta y tres sesenta y cuatro. ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;['Piso en Baldosa /  Mármol'];['Vista panorámica', 'Zonas Verdes'];['Colegios / Universidades', 'Parques cercanos', 'Supermercados / C.Comerciales', 'Trans. Público cercano', 'Zona Residencial'];2;9 a 15 años;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;marinilla;apartamento
Usada;https://www.fincaraiz.com.co/apartamento-en-venta/el-retiro/el-retiro-det-5793263.aspx;Apartamento en Venta El Retiro La Fe;823000000.0;114.0;2.0;3.0;2.0;Exclusivo apartamento para le venta en el municipio del Retiro con vista hacia la represa la fe en medio de un agradable bosque nativo. Piso 3 sobre la montaña. Vista directa a la represa de la fe.  Area de 114 mts,  dos cuartos,  tres baños,  cocina integral abierta,  parqueadero doble y cuarto util. .;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;['Balcón', 'Baño Auxiliar', 'Baño Independiente', 'Barra estilo americano', 'Calentador', 'Chimenea', 'Citófono', 'Closet', 'Cocina Integral', 'Depósito / Bodega', 'Patio'];['Árboles frutales', 'Ascensor', 'Garaje / Parqueadero(s)', 'Garaje(s)', 'Jardín', 'Parqueadero Visitantes', 'Portería / Recepción', 'Vigilancia', 'Vista panorámica', 'Zonas Verdes'];['Colegios / Universidades', 'Parques cercanos', 'Zona Residencial'];5;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;el retiro;apartamento
Usada;https://www.fincaraiz.com.co/apartamento-en-venta/el-retiro/el-retiro-det-5793262.aspx;Apartamento en Venta El Retiro La Fe;670000000.0;106.0;2.0;3.0;2.0;Exclusivo apartamento para le venta en el municipio del Retiro con vista hacia la represa la fe en medio de un agradable bosque nativo. Piso 2 sobre la montaña. Vista directa a la represa de la fe.  Area de 106 mts,  dos cuartos,  dos  baños,  cocina integral abierta,  parqueadero doble y cuarto util. .;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;['Balcón', 'Baño Auxiliar', 'Baño Independiente', 'Barra estilo americano', 'Calentador', 'Chimenea', 'Citófono', 'Closet', 'Cocina Integral', 'Depósito / Bodega', 'Patio'];['Árboles frutales', 'Ascensor', 'Garaje / Parqueadero(s)', 'Garaje(s)', 'Jardín', 'Parqueadero Visitantes', 'Portería / Recepción', 'Vigilancia', 'Vista panorámica', 'Zonas Verdes'];['Colegios / Universidades', 'Parques cercanos', 'Zona Residencial'];5;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;el retiro;apartamento
